id,properties_name,address,latitude,longitude,no_of_stations,no_of_hawkers,no_of_supermarkets,no_of_schools,no_of_preschools,no_of_parks,no_of_malls,price,size,no_of_bedrooms,no_of_bathrooms,property_type,year_of_built,leasing,plot ratio,rental,subdistrict
4107,Seletar Hills Estate,55 Seletar Hills Drive,1.385284224,103.8745103,0,0,2,0,4,4,1,6388000,4300,6,5,Semi-Detached House,0,999-year Leasehold,0,0, 
4108,One-North Residences,7 One-North Gateway,1.302204401,103.7899075,3,0,3,0,5,5,2,1500000,980,2,2,Apartment,2009,99-year Leasehold,2.5,4.15,ONE NORTH
4109,80A Upper Aljunied Road,Upper Aljunied,1.339399818,103.8737332,1,0,1,0,2,1,0,4700000,5630,5,5,Corner Terrace,0,Freehold,0,0, 
4110,Cradels,10 Lorong Limau,1.324671465,103.8539103,0,2,4,0,5,0,0,688888,441,1,1,Condominium,2015,Freehold,2.8,4.42,BALESTIER
4111,135 Marsiling Road,135 Marsiling Road,1.437569562,103.7777638,0,1,0,0,3,1,0,730000,1830,4,3,HDB Flat,1995,99-year Leasehold,0,0, 
4112,Beautifully Renovated Semi Detached Walking Distance to MRT,Springleaf,1.400879271,103.8224585,0,0,0,0,1,3,0,3980000,3500,4,5,Semi-Detached House,0,Freehold,0,0, 
4113,Flamingo Valley,460 Siglap Road,1.317801057,103.9221073,0,0,2,0,5,4,0,2800000,2295,3,2,Condominium,2015,Freehold,1.449304421,3.02,FRANKEL
4114,18 Woodsville,18 Woodsville Close,1.329580442,103.8681883,1,0,1,0,5,2,1,1420000,1044,2,2,Condominium,2015,Freehold,2.786773686,3.55,POTONG PASIR
4115,Alba,8 Cairnhill Rise,1.307415352,103.8397173,0,0,2,0,2,1,4,26000000,6437,6,4,Condominium,2015,Freehold,2.8,0,CAIRNHILL
4116,RITZ MANSIONS,346 Balestier Road,1.325285587,103.852835,0,2,3,0,5,0,1,1599000,1281,3,2,Condominium,1995,Freehold,2.8,2.32,BALESTIER
4117,THE ESTUARY,91 Yishun Avenue 1,1.410757872,103.8310812,0,0,1,0,5,1,0,1280000,1302,3,3,Condominium,2013,99-year Leasehold,2.1,2.42,YISHUN SOUTH
4118,NottingHill Suites,29A Toh Tuck Rd,1.338853909,103.769183,0,0,2,0,5,5,0,870000,667,1,1,Apartment,2016,Freehold,1.4,4.27,ANAK BUKIT
4119,Alexis,356 Alexandra Road,1.291133405,103.8073548,1,2,5,0,5,0,3,1200000,861,2,1,Condominium,2014,Freehold,3,4.55,MEI CHIN
4120,The Woodleigh Residences,15 Bidadari Park Drive,1.338176888,103.8718535,2,0,1,0,3,0,0,1500000,850,3,2,Apartment,0,99-year Leasehold,3.500007861,0,BIDADARI
4121,The Oliv,11C Balmoral Road,1.314836293,103.8315785,0,0,0,0,4,0,0,12000000,3337,4,4,Apartment,2013,Freehold,1.6,0,NASSIM
4122,Mayfair Gardens,10 Rifle Range Road,1.33862752,103.7814508,1,1,4,0,4,2,2,1408000,753,2,2,Condominium,0,99-year Leasehold,1.539999815,0,SWISS CLUB
4123,City Loft,363 Race Course Road,1.31506106,103.8566799,2,1,3,0,5,3,3,599000,321,1,1,Apartment,2014,Freehold,3,0,LAVENDER
4124,154 Mei Ling Street,154 Mei Ling Street,1.29361494,103.8037425,1,1,1,0,5,0,0,318888,721,2,1,HDB Flat,1968,99-year Leasehold,0,0, 
4125,35 Marine Crescent,35 Marine Crescent,1.303370404,103.9125219,0,2,1,0,5,1,0,520000,883,3,1,HDB Flat,1974,99-year Leasehold,0,0, 
4126,Mount Sinai Drive Inter-Terrace For Sale,Mount Sinai Drive,1.318338416,103.7792808,0,0,3,0,5,4,0,4200000,2200,4,3,Terraced House,0,999-year Leasehold,0,0, 
4127,Stars of Kovan,986 Upper Serangoon Road,1.361606529,103.8874628,1,1,2,0,5,2,1,888000,506,1,1,Condominium,0,99-year Leasehold,3.000069327,4.45,LORONG AH SOO
4128,Parc Vera,Parc Vera,1.363996816,103.89511,0,0,2,0,4,2,0,1199999,1141,3,3,Condominium,2015,99-year Leasehold,2.8,2.8,KANGKAR
4129,Riversails,8 Upper Serangoon Crescent,1.378359029,103.9029043,0,0,1,0,5,0,0,2250000,2400,3,3,Condominium,2016,99-year Leasehold,3.5,2.54,HOUGANG EAST
4130,Riversails,4 Upper Serangoon Crescent,1.378033392,103.9024815,0,0,1,0,5,0,0,909000,882,2,2,Condominium,2016,99-year Leasehold,3.5,2.54,HOUGANG EAST
4131,Alana,Sunrise Terrace,1.388232832,103.8560974,0,0,0,0,1,5,0,2503374,2756,3,3,Terraced House,2019,103-year Leasehold,0,0, 
4132,Alana,Sunrise Terrace,1.388232832,103.8560974,0,0,0,0,1,5,0,2380000,2756,4,4,Cluster House,2019,103-year Leasehold,0,0, 
4133,549 Jurong West Street 42,549 Jurong West Street 42,1.352913939,103.7160727,0,1,3,0,5,0,0,650000,1603,4,3,HDB Flat,1983,99-year Leasehold,0,0, 
4134,Sol Acres,6 Choa Chu Kang Grove,1.377234991,103.7506832,0,0,4,0,5,2,2,595000,495,1,1,Executive Condominium,2019,99-year Leasehold,3.5,0,KEAT HONG
4135,Parc Riviera,101 West Coast Vale,1.320817692,103.7526673,0,0,0,0,1,0,0,880000,603,2,1,Condominium,0,99-year Leasehold,2.800033847,3.98,WEST COAST
4136,366 Tampines Street 34,366 Tampines Street 34,1.357617586,103.961379,1,0,2,0,0,0,0,460000,1076,3,2,HDB Flat,1995,99-year Leasehold,0,0, 
4137,D'Leedon,1 Leedon Heights,1.316090219,103.8023,1,1,0,0,3,1,0,1180000,635,1,1,Condominium,2014,99-year Leasehold,2.905397956,4,FARRER COURT
4138,The Woodleigh Residences,13 Bidadari Park Drive,1.338214403,103.87209,1,0,0,0,2,0,0,1200000,667,2,2,Apartment,0,99-year Leasehold,3.500007861,0,BIDADARI
4139,Daintree Residence,11A Toh Tuck Road,1.340000986,103.7708699,1,1,3,0,5,5,2,1900000,1206,3,2,Apartment,0,99-year Leasehold,1.400002137,0,ANAK BUKIT
4140,90A Telok Blangah Street 31,90A Telok Blangah Street 31,1.2777382,103.8070972,0,2,1,0,4,1,0,870000,1001,3,2,HDB Flat,2017,99-year Leasehold,0,0, 
4141,8@Woodleigh,6 Woodleigh Close,1.335921612,103.869281,2,0,1,0,5,0,1,640000,398,1,1,Condominium,2012,99-year Leasehold,2.800007425,3.39,WOODLEIGH
4142,Kovan Regency,2 Kovan Rise,1.363048456,103.8857524,1,1,1,0,5,3,1,850000,592,2,1,Condominium,2016,99-year Leasehold,2.100022949,3.67,KOVAN
4143,Penrose,22 Sims Drive,1.31948983,103.8799949,0,0,0,0,0,0,0,2133000,1389,4,3,Condominium,0,99-year Leasehold,3.000024653,0,ALJUNIED
4144,Queens Peak,Dundee Road,1.294852636,103.8071651,1,1,2,0,5,0,1,965000,495,1,1,Condominium,0,99-year Leasehold,4.9,4.85,MARGARET DRIVE
4145,Waterview,79 Tampines Avenue 1,1.348119773,103.9260782,0,0,1,0,3,0,0,900000,979,2,2,Condominium,2013,99-year Leasehold,2.100005041,2.7,TAMPINES WEST
4146,Leedon Green,26 Leedon Heights,1.313566141,103.803218,1,1,0,0,2,0,0,3886000,1496,4,3,Condominium,0,Freehold,1.759999868,0,FARRER COURT
4147,SeaSuites,252 Pasir Panjang Road,1.282420833,103.7831427,1,0,0,0,2,0,0,1100000,689,1,1,Apartment,2016,Freehold,1.4,3.9,PASIR PANJANG 1
4148,10 Jalan Batu,10 Jalan Batu,1.302044883,103.8828871,1,2,1,0,3,4,0,830000,1421,3,2,HDB Flat,1986,99-year Leasehold,0,0, 
4149,Leedon Green,28 Leedon Heights,1.313004519,103.8035679,1,1,0,0,4,1,0,3595500,1356,3,2,Condominium,0,Freehold,1.759999868,0,FARRER COURT
4150,Kingsford Waterbay,84 Upper Serangoon View,1.37610579,103.9041942,0,0,1,0,4,0,0,2000000,1356,4,3,Condominium,2018,99-year Leasehold,3.000013037,3.48,KANGKAR
4151,Dairy Farm Residences,8 Dairy Farm Lane,1.366812141,103.7745006,0,0,1,0,1,2,0,1068600,710,2,2,Condominium,0,99-year Leasehold,2.100042244,0,DAIRY FARM
4152,Kent Ridge Hill Residences,South Buona Vista Road Singapore,1.280475882,103.7863417,0,0,0,0,2,0,0,2938000,2067,5,4,Cluster House,0,99-year Leasehold,1.539999865,0,PASIR PANJANG 2
4153,185 Bedok North Road,185 Bedok North Road,1.326237253,103.9408276,1,2,4,0,5,2,0,618000,990,3,2,HDB Flat,2003,99-year Leasehold,0,0, 
4154,Penrose,22 Sims Drive,1.31948983,103.8799949,0,0,0,0,0,0,0,1563000,980,3,2,Condominium,0,99-year Leasehold,3.000024653,0,ALJUNIED
4155,434B Fernvale Road,434B Fernvale Road,1.394609604,103.8765855,0,0,5,0,5,1,1,580000,1216,3,2,HDB Flat,2013,99-year Leasehold,0,0, 
4156,Parc Canberra,1 Canberra Walk,1.447470592,103.829031,1,0,2,0,5,1,1,958000,947,3,2,Executive Condominium,0,99-year Leasehold,2.5,0,SEMBAWANG EAST
4157,Meyer Mansion,79 Meyer Road,1.296472195,103.8910346,0,0,0,0,5,5,0,3558000,1496,3,4,Condominium,0,Freehold,3.079999747,0,MOUNTBATTEN
4158,Meyer Mansion,79 Meyer Road,1.296472195,103.8910346,0,0,0,0,5,5,0,4288000,1722,4,5,Condominium,0,Freehold,3.079999747,0,MOUNTBATTEN
4159,Meyer Mansion,79 Meyer Road,1.296472195,103.8910346,0,0,0,0,5,5,0,3488000,1399,3,4,Condominium,0,Freehold,3.079999747,0,MOUNTBATTEN
4160,Meyer Mansion,79 Meyer Road,1.296472195,103.8910346,0,0,0,0,5,5,0,4338000,1765,4,5,Condominium,0,Freehold,3.079999747,0,MOUNTBATTEN
4161,Serangoon Garden Estate,112 Cowdray Avenue,1.369457758,103.864076,0,2,1,0,3,1,1,5400000,5500,5,6,Corner Terrace,0,Unknown Tenure,0,0, 
4162,Thomson Hills,Thomson Hills Drive,1.378625076,103.8318515,0,0,1,0,5,5,0,4500000,4517,5,5,Terraced House,0,Freehold,0,0,SEMBAWANG HILLS
4163,Avenue South Residence,1 Silat Avenue,1.276390119,103.8302713,0,1,3,0,4,0,0,1386000,657,2,1,Condominium,0,99-year Leasehold,3.700003501,0,BEDOK SOUTH
4164,Flamingo Valley,478 Siglap Road,1.318611071,103.922559,0,0,2,0,3,5,0,3980000,2680,4,3,Condominium,2015,Freehold,1.449304421,3.02,FRANKEL
4165,Normanton Park,45 Normanton Park,1.287349679,103.7930563,0,0,0,0,2,1,0,3100000,2110,4,4,Terraced House,0,99-year Leasehold,2.30999989,1.99,KENT RIDGE
4166,Normanton Park,45 Normanton Park,1.287349679,103.7930563,0,0,0,0,2,1,0,1138000,667,2,1,Condominium,0,99-year Leasehold,2.30999989,1.99,KENT RIDGE
4167,Palm Isles,38 Flora Drive,1.356043018,103.9639411,0,0,2,0,0,0,0,849000,947,2,2,Condominium,2015,99-year Leasehold,1.400013424,2.8,FLORA DRIVE
4168,Normanton Park,45 Normanton Park,1.287349679,103.7930563,0,0,0,0,2,1,0,1288000,732,2,2,Condominium,0,99-year Leasehold,2.30999989,1.99,KENT RIDGE
4169,Bedok Court,299 Bedok South Avenue 3,1.321591645,103.9446711,1,1,2,0,5,5,0,2200000,2260,3,2,Condominium,1985,99-year Leasehold,2.1,1.62,BEDOK SOUTH
4170,Margate Meyer Vicinity Bungalow 2. 5 storey + basement + courtyard,Margate Road,1.299011972,103.8888824,0,1,0,0,5,4,0,18000000,8488,6,6,Detached House,2008,Freehold,0,0, 
4171,110 Ang Mo Kio Avenue 4,110 Ang Mo Kio Avenue 4,1.37045937,103.8374193,0,3,3,0,5,4,0,420000,893,3,2,HDB Flat,1977,99-year Leasehold,0,0, 
4172,96A Henderson Road,96A Henderson Road,1.288017149,103.8218892,2,4,4,0,5,1,1,968000,1001,3,2,HDB Flat,2018,99-year Leasehold,0,0, 
4173,Midwood,8 Hillview Rise,1.362862088,103.7634339,1,0,2,0,5,2,2,1203000,775,2,2,Condominium,0,99-year Leasehold,2.800064353,0,HILLVIEW
4174,Cavan Suites,11 Cavan Road,1.310998559,103.8611552,2,2,5,0,5,2,4,620000,344,1,1,Apartment,2013,Freehold,3,4.95,LAVENDER
4175,Seastrand,1 Pasir Ris Link,1.376534024,103.960778,0,0,1,0,5,0,0,845000,883,2,2,Condominium,2014,99-year Leasehold,2.1,2.72,PASIR RIS PARK
4176,90 Tanglin Halt Road,90 Tanglin Halt Road,1.300517009,103.7989763,1,2,1,0,5,0,0,848000,968,3,2,HDB Flat,2007,99-year Leasehold,0,0, 
4177,J Gateway,2 Gateway Drive,1.335557318,103.7424168,2,2,5,0,5,0,5,920000,474,1,1,Condominium,2017,99-year Leasehold,4.200034518,4.74,JURONG GATEWAY
4178,29 springleaf lane,29 springleaf lane,1.397011872,103.8219367,0,0,0,0,0,4,0,4980000,5711,5,5,Semi-Detached House,2019,Freehold,0,0, 
4179,Commonwealth Towers,230 Commonwealth Avenue,1.295734335,103.8060302,1,1,2,0,5,0,0,1420000,678,2,2,Condominium,2017,99-year Leasehold,4.9,5.16,MARGARET DRIVE
4180,East View Garden,14 Meragi Close,1.343411232,103.9599771,1,0,0,0,5,5,0,4000000,2000,4,2,Terraced House,1977,999-year Leasehold,0,0, 
4181,Waterview,93 Tampines Avenue 1,1.34944602,103.9267433,0,0,1,0,5,0,0,850000,786,2,2,Condominium,2013,99-year Leasehold,2.100005041,2.7,TAMPINES WEST
4182,Kingsford Hillview Peak,105 Hillview Rise,1.364843897,103.7637276,1,0,2,0,2,0,1,710000,517,1,1,Condominium,2016,99-year Leasehold,2.800015812,3.42,HILLVIEW
4183,Riversails,20 Upper Serangoon Crescent,1.378852702,103.9024802,0,0,1,0,4,0,0,918000,850,2,2,Condominium,2016,99-year Leasehold,3.5,2.54,HOUGANG EAST
4184,The Vision,79 West Coast Crescent,1.298195797,103.7646116,0,0,1,0,2,2,0,1300000,904,2,2,Condominium,2015,99-year Leasehold,2.8,3.51,CLEMENTI WEST
4185,Sengkang Grand Residences,84 Compassvale Bow,1.383608691,103.8925741,1,0,4,0,4,0,0,1686400,1012,3,3,Condominium,0,99-year Leasehold,2.100019058,0,COMPASSVALE
4186,Sengkang Grand Residences,78 Compassvale Bow,1.383451462,103.8919783,1,0,5,0,4,0,1,1192000,678,2,1,Condominium,0,99-year Leasehold,2.100019058,0,COMPASSVALE
4187,Waterview,89 Tampines Avenue 1,1.349544239,103.9262279,0,0,1,0,4,0,0,1350000,1378,3,3,Condominium,2013,99-year Leasehold,2.100005041,2.7,TAMPINES WEST
4188,14 Flanders Square,12 Flanders Square,1.312345282,103.8573853,3,1,5,0,5,4,3,1999000,1333,4,4,Walk-up Apartment,0,Freehold,3,0,LAVENDER
4189,The Hilloft,Jalan Dermawan,1.360636868,103.758616,0,0,0,0,5,5,0,3000000,4919,6,7,Cluster House,2011,999-year Leasehold,0,0,HILLVIEW
4190,Clavon,4 Clementi Avenue 1,1.308912438,103.7670551,0,3,3,0,4,3,2,1653000,958,3,1,Condominium,0,99-year Leasehold,3.500033247,0,CLEMENTI WOODS
4191,183 Bedok North Road,183 Bedok North Road,1.32643686,103.9418509,1,2,3,0,5,5,0,598000,990,3,2,HDB Flat,2003,99-year Leasehold,0,0, 
4192,Avenue South Residence,1 Silat Avenue,1.276390119,103.8302713,0,1,3,0,4,0,0,1278000,657,2,1,Condominium,0,99-year Leasehold,3.700003501,0,BEDOK SOUTH
4193,Grande Vista,10 Cactus Drive,1.388637167,103.8531998,0,0,0,0,3,4,0,1950000,1647,1,1,Condominium,1993,999-year Leasehold,1.4,1.6,YIO CHU KANG EAST
4194,663A Punggol Drive,663A Punggol Drive,1.400243477,103.91708,0,0,5,0,5,1,1,430000,721,2,2,HDB Flat,2015,99-year Leasehold,0,0, 
4195,Casa Al Mare,75 Jalan Loyang Besar,1.377856296,103.9570896,0,0,1,0,3,0,1,1238000,786,2,2,Apartment,0,Freehold,1.539999189,0,PASIR RIS PARK
4196,Cyan,8 Keng Chin Road,1.317247575,103.8299726,1,0,1,0,4,1,0,1360000,689,1,1,Condominium,2014,Freehold,2.1,4.06,NASSIM
4197,Casa Al Mare,75 Jalan Loyang Besar,1.377856296,103.9570896,0,0,1,0,3,0,1,1138000,764,2,2,Apartment,0,Freehold,1.539999189,0,PASIR RIS PARK
4198,Casa Al Mare,75 Jalan Loyang Besar,1.377856296,103.9570896,0,0,1,0,3,0,1,1088000,732,2,2,Apartment,0,Freehold,1.539999189,0,PASIR RIS PARK
4199,Casa Al Mare,75 Jalan Loyang Besar,1.377856296,103.9570896,0,0,1,0,3,0,1,1738000,1130,3,3,Apartment,0,Freehold,1.539999189,0,PASIR RIS PARK
4200,Casa Al Mare,75 Jalan Loyang Besar,1.377856296,103.9570896,0,0,1,0,3,0,1,1200000,775,2,2,Apartment,0,Freehold,1.539999189,0,PASIR RIS PARK
4201,Pollen & Bleu,15 Farrer Drive,1.313728239,103.8067501,1,1,0,0,2,1,0,2240000,1184,3,2,Condominium,2017,99-year Leasehold,1.600114864,4,TYERSALL
4202,295B Compassvale Crescent,295B Compassvale Crescent,1.397981097,103.9000725,0,0,1,0,3,0,0,468000,1184,3,2,HDB Flat,2000,99-year Leasehold,0,0, 
4203,RiverTrees Residences,25 Fernvale Close,1.393846556,103.8805148,0,0,3,0,5,0,1,739000,581,2,1,Apartment,2018,99-year Leasehold,3,3.24,FERNVALE
4204,127D Kim Tian Road,127D Kim Tian Road,1.281119806,103.8299432,1,2,4,0,5,1,0,958000,1216,3,2,HDB Flat,2011,99-year Leasehold,0,0, 
4205,La Mariposa,35 Mangis Road,1.312707634,103.9046712,0,1,3,0,5,2,0,1294000,689,2,2,Apartment,0,Freehold,1.539998374,0,GEYLANG EAST
4206,eCO,283 Bedok South Avenue 3,1.322931186,103.9451256,1,0,1,0,5,5,0,780000,592,1,1,Condominium,2017,99-year Leasehold,2.100019201,3.36,BEDOK SOUTH
4207,Yong Seng Estate,Jalan Senang,1.325572395,103.9171842,1,0,1,0,5,5,0,5699999,3573,7,6,Semi-Detached House,2004,Freehold,0,0, 
4208,Paya Lebar Residences,27 Paya Lebar Road,1.317521438,103.8914757,2,4,5,0,5,2,5,1500000,936,2,2,Apartment,2003,Freehold,2.8,2.92,ALJUNIED
4209,Dairy Farm Residences,4 Dairy Farm Lane,1.365570784,103.7750491,0,0,1,0,1,0,0,979000,701,2,1,Condominium,0,99-year Leasehold,2.100042244,0,DAIRY FARM
4210,Dairy Farm Residences,4 Dairy Farm Lane,1.365570784,103.7750491,0,0,1,0,1,0,0,2024400,1335,4,3,Condominium,0,99-year Leasehold,2.100042244,0,DAIRY FARM
4211,217B Sumang Walk,217B Sumang Walk,1.402401614,103.894935,0,0,3,0,5,0,0,538000,990,3,2,HDB Flat,2016,99-year Leasehold,0,0, 
4212,Parc Riviera,103 West Coast Vale,1.320614301,103.7532909,0,0,0,0,1,0,0,1080000,710,2,2,Condominium,0,99-year Leasehold,2.800033847,3.98,WEST COAST
4213,The Inflora,51 Flora Drive,1.357118279,103.9662255,0,0,0,0,0,2,0,850000,818,2,2,Condominium,2017,99-year Leasehold,1.534085096,3.1,FLORA DRIVE
4214,Orchard Scotts,7 Anthony Road,1.309660253,103.8384453,2,1,0,0,4,0,0,3590000,2099,3,4,Condominium,2007,99-year Leasehold,2.799794079,4.11,CAIRNHILL
4215,Kovan Grandeur,Kovan Grandeur,1.360915308,103.8920665,1,1,3,0,5,0,1,530000,366,1,1,Condominium,2012,99-year Leasehold,1.4,0,LORONG AH SOO
4216,Avenue South Residence,3 Silat Avenue,1.276280878,103.8297954,0,0,3,0,5,0,0,1064000,527,1,1,Condominium,0,99-year Leasehold,3.700003501,0,BEDOK SOUTH
4217,288C Jurong East Street 21,288C Jurong East Street 21,1.33952465,103.7434766,2,2,5,0,5,0,3,768000,1528,4,3,HDB Flat,1998,99-year Leasehold,0,0, 
4218,Alnwick Road,Alnwick Road,1.364692353,103.8682399,0,2,1,0,1,3,1,7750000,7500,5,7,Semi-Detached House,0,999-year Leasehold,0,0, 
4219,Midtown Modern,16 Tan Quee Lan Street,1.298505223,103.8570884,5,1,4,0,5,2,5,1247800,409,1,1,Condominium,0,99-year Leasehold,4.200055504,0,BUGIS
4220,Kingsford Waterbay,76 Upper Serangoon View,1.375038314,103.9039101,0,0,1,0,2,0,0,899000,678,2,2,Condominium,2018,99-year Leasehold,3.000013037,3.48,KANGKAR
4221,One-North Residences,7 One-North Gateway,1.302204401,103.7899075,3,0,3,0,5,5,2,1150000,829,1,1,Apartment,2009,99-year Leasehold,2.5,4.15,ONE NORTH
4222,Leedon Green,26 Leedon Heights,1.313566141,103.803218,1,1,0,0,2,0,0,3400000,1356,3,3,Condominium,0,Freehold,1.759999868,0,FARRER COURT
4223,The Jovell,13 Flora Drive,1.358004544,103.9657254,0,0,0,0,0,3,0,1580500,1270,4,4,Condominium,0,99-year Leasehold,1.538842293,0,FLORA DRIVE
4224,Myra,9 Meyappa Chettiar Road,1.330562504,103.867885,1,0,2,0,5,1,1,1004800,474,1,1,Condominium,0,Freehold,2.309996142,0,POTONG PASIR
4225,The Axis,47 Mandalay Road,1.324621943,103.8499576,0,2,4,0,5,0,2,1230000,786,2,2,Apartment,2010,Freehold,2.8,0,BALESTIER
4226,The Tre Ver,60 Potong Pasir Avenue 1,1.336529941,103.865336,1,0,2,0,5,0,1,1880000,1055,3,2,Condominium,0,99-year Leasehold,3.079999679,0,POTONG PASIR
4227,Symphony Suites,21 Yishun Close,1.435759355,103.844351,0,0,4,0,5,0,1,849999,689,2,2,Condominium,0,99-year Leasehold,2.800017515,2.84,YISHUN EAST
4228,88 Dawson Road,88 Dawson Road,1.29579395,103.8092648,1,0,2,0,5,0,0,819999,893,2,2,HDB Flat,2015,99-year Leasehold,0,0, 
4229,The Creek @ Bukit,19 Toh Tuck Road,1.339021377,103.7695234,0,0,1,0,5,5,0,2539000,1722,4,3,Condominium,2017,Freehold,1.539953546,3.52,ANAK BUKIT
4230,The Creek @ Bukit,19 Toh Tuck Road,1.339021377,103.7695234,0,0,1,0,5,5,0,2476000,1679,4,3,Condominium,2017,Freehold,1.539953546,3.52,ANAK BUKIT
4231,673A Edgefield Plains,673A Edgefield Plains,1.406676726,103.9116133,0,0,5,0,5,1,0,498000,968,3,2,HDB Flat,2015,99-year Leasehold,0,0, 
4232,"3/s with basement Bungalow 21, 000sf Greenbank Park 7+1+lift Park 8 cars",Greenbank park,1.347589492,103.7881737,0,0,0,0,1,0,0,13999999,21000,7,7,Bungalow House,0,Freehold,0,0, 
4233,????????????Rare Elevated Squarish Land in Raffles Park ????????????,Oriole crescent,1.334513855,103.8024701,0,0,4,0,4,2,0,19000000,4500,5,4,Good Class Bungalow,0,Freehold,0,0, 
4234,Provence Residence,23 Canberra Crescent,1.447784713,103.8274513,2,0,3,0,5,1,2,982000,883,3,3,Executive Condominium,0,99-year Leasehold,2.484,0,SEMBAWANG EAST
4235,7 1 LiveTour,Belgravia Green,1.380321495,103.8644785,0,0,0,0,2,4,0,4100000,4004,5,4,Cluster House,0,2d,0,0, 
4236,City Gate,City Gate,1.302347543,103.86226,2,3,3,0,4,3,2,1490000,700,2,2,Condominium,2019,99-year Leasehold,5.3,3.93,CRAWFORD
4237,61A Strathmore Avenue,61A Strathmore Avenue,1.293860989,103.8115839,2,0,2,0,5,0,0,550000,743,2,2,HDB Flat,2010,99-year Leasehold,0,0, 
4238,Myra,9 Meyappa Chettiar Road,1.330562504,103.867885,1,0,2,0,5,1,1,1044800,474,1,1,Condominium,0,Freehold,2.309996142,0,POTONG PASIR
4239,Gerald crescent,Gerald Crescent,1.387214564,103.8768927,0,0,0,0,3,2,0,8000000,7200,4,5,Detached House,0,999-year Leasehold,0,0, 
4240,313A Anchorvale Road,313A Anchorvale Road,1.39158552,103.8875199,0,0,2,0,5,0,0,530000,1184,3,2,HDB Flat,2001,99-year Leasehold,0,0, 
4241,Stars of Kovan,980 Upper Serangoon Road,1.361252263,103.887231,1,1,4,0,5,2,1,1399999,753,2,2,Condominium,0,99-year Leasehold,3.000069327,4.45,LORONG AH SOO
4242,Affinity At Serangoon,Serangoon North Avenue 1,1.369950992,103.8723123,0,0,2,0,5,0,0,2500000,2400,5,3,Terraced House,0,99-year Leasehold,3.079159945,0,SERANGOON GARDEN
4243,Jewel @ Buangkok,Buangkok Drive,1.379718962,103.8958032,1,0,2,0,5,1,0,1450000,872,3,2,Condominium,2017,99-year Leasehold,3.000049071,3.1,COMPASSVALE
4244,WhiteHaven,332 Pasir Panjang Road,1.289532335,103.7776266,1,0,0,0,2,0,0,940000,538,2,2,Apartment,2017,Freehold,1.538423383,4.11,PASIR PANJANG 1
4245,My Manhattan,33 Simei Street 3,1.341901156,103.9536575,1,0,2,0,5,3,1,1238000,883,2,2,Condominium,2014,99-year Leasehold,2.30000848,3.33,SIMEI
4246,Principal Garden,97 Prince Charles Crescent,1.292449589,103.8223162,0,1,4,0,5,1,0,900000,484,1,1,Condominium,2019,99-year Leasehold,2.100038855,5.05,ALEXANDRA NORTH
4247,Westmere,75 Jurong East Street 13,1.337277603,103.7363095,1,1,4,0,5,0,1,1200000,1292,3,2,Condominium,1999,99-year Leasehold,2.8,0,YUHUA EAST
4248,J Gateway,6 Gateway Drive,1.336296369,103.7417314,2,2,5,0,5,0,5,880000,495,1,1,Condominium,2017,99-year Leasehold,4.200034518,4.74,JURONG GATEWAY
4249,Vetro,22a Mar Thoma Road,1.327518848,103.8625649,0,0,0,0,5,1,0,650000,474,1,1,Condominium,2010,999-year Leasehold,2.8,0,BENDEMEER
4250,Normanton Park,45 Normanton Park,1.287349679,103.7930563,0,0,0,0,2,1,0,917000,527,1,1,Condominium,0,99-year Leasehold,2.30999989,1.99,KENT RIDGE
4251,91 Dawson Road,91 Dawson Road,1.295340411,103.8125852,1,0,2,0,5,0,0,882000,893,3,2,HDB Flat,2015,99-year Leasehold,0,0, 
4252,Meyer Mansion,79 Meyer Road,1.296472195,103.8910346,0,0,0,0,5,5,0,1324800,484,1,1,Condominium,0,Freehold,3.079999747,0,MOUNTBATTEN
4253,Meyer Mansion,79 Meyer Road,1.296472195,103.8910346,0,0,0,0,5,5,0,2815200,1109,3,2,Condominium,0,Freehold,3.079999747,0,MOUNTBATTEN
4254,120A Edgedale Plains,120A Edgedale Plains,1.394512179,103.9079643,0,1,3,0,5,0,2,490000,1001,3,2,HDB Flat,2016,99-year Leasehold,0,0, 
4255,Meyer Mansion,79 Meyer Road,1.296472195,103.8910346,0,0,0,0,5,5,0,1861000,689,2,2,Condominium,0,Freehold,3.079999747,0,MOUNTBATTEN
4256,THE LINE @ TANJONG RHU,6 Tanjong Rhu Road,1.298437301,103.884408,0,1,0,0,5,3,0,2332408,1066,3,2,Condominium,2016,Freehold,2.47261331,4.1,TANJONG RHU
4257,Infini at East Coast,363 East Coast Road,1.309176043,103.911352,0,2,5,0,5,2,2,1506000,753,2,2,Condominium,0,Freehold,1.536227915,0,FRANKEL
4258,Seahill,119 West Coast Crescent,1.298656689,103.7641136,0,1,1,0,2,2,0,738000,495,1,1,Condominium,2019,99-year Leasehold,2.800034748,3.83,CLEMENTI WEST
4259,Alana,Sunrise Terrace,1.388232832,103.8560974,0,0,0,0,1,5,0,2450000,2756,3,4,Cluster House,2019,103-year Leasehold,0,0, 
4260,Singa Hills,33 Jalan Singa,1.330132629,103.908285,0,0,1,0,5,0,0,1350000,872,3,2,Apartment,2016,Freehold,1.539873223,0,KAKI BUKIT
4261,Bayshore Park,50 Bayshore Road,1.312149584,103.9374683,0,0,0,0,4,0,0,1225000,936,2,2,Condominium,1986,99-year Leasehold,2.8,2.51,BAYSHORE
